,0,1
276,18.453125,22050
277,8.078125,22050
278,11.671875,22050
279,45.5625,22050
280,8.828125,22050
281,3.03125,22050
282,3.859375,22050
283,6.796875,22050
284,16.96875,22050
285,38.8125,22050
286,15.25,22050
287,12.3125,22050
288,11.484375,22050
289,10.0,22050
290,11.671875,22050
291,7.453125,22050
292,12.171875,22050
293,7.671875,22050
294,4.734375,22050
295,12.078125,22050
296,8.484375,22050
297,7.59375,22050
298,22.5,22050
299,15.140625,22050
300,8.75,22050
301,7.28125,22050
302,6.171875,22050
303,7.765625,22050
304,6.875,22050
305,9.609375,22050
306,9.703125,22050
307,6.875,22050
308,7.546875,22050
309,4.984375,22050
310,8.34375,22050
311,10.796875,22050
312,8.390625,22050
313,9.34375,22050
314,4.03125,22050
315,7.953125,22050
316,15.390625,22050
317,19.984375,22050
318,10.890625,22050
319,7.40625,22050
320,16.046875,22050
321,18.78125,22050
322,25.15625,22050
323,5.109375,22050
324,38.96875,22050
325,12.546875,22050
326,16.328125,22050
327,12.59375,22050
328,11.703125,22050
329,8.25,22050
330,13.640625,22050
331,6.671875,22050
332,11.4375,22050
333,11.078125,22050
334,9.09375,22050
335,17.046875,22050
336,8.4375,22050
337,7.671875,22050
338,13.15625,22050
339,3.421875,22050
340,8.390625,22050
341,6.84375,22050
342,7.859375,22050
343,9.578125,22050
344,6.25,22050
345,7.625,22050
346,7.3125,22050
347,7.0,22050
348,3.9375,22050
349,8.65625,22050
350,19.609375,22050
351,13.1875,22050
352,17.234375,22050
353,13.65625,22050
354,6.75,22050
355,11.921875,22050
356,7.078125,22050
357,9.4375,22050
358,6.9375,22050
359,11.953125,22050
360,6.296875,22050
361,5.875,22050
362,5.046875,22050
363,3.625,22050
364,2.328125,22050
365,6.609375,22050
366,11.6875,22050
367,10.453125,22050
368,9.484375,22050
369,21.53125,22050
370,22.15625,22050
371,21.421875,22050
372,15.15625,22050
373,5.40625,22050
374,0.1875,22050
375,0.21875,22050
376,8.328125,22050
377,8.890625,22050
378,7.46875,22050
379,6.875,22050
380,11.21875,22050
381,17.703125,22050
382,9.0,22050
383,25.78125,22050
384,33.890625,22050
385,12.46875,22050
386,13.234375,22050
387,10.203125,22050
388,10.15625,22050
389,8.21875,22050
390,22.359375,22050
391,11.953125,22050
392,16.828125,22050
393,12.359375,22050
394,17.71875,22050
395,13.296875,22050
396,15.640625,22050
397,16.984375,22050
398,10.421875,22050
399,12.296875,22050
400,11.109375,22050
401,7.78125,22050
402,6.65625,22050
403,20.9375,22050
404,12.5,22050
405,32.046875,22050
406,9.0,22050
407,6.0625,22050
408,24.671875,22050
409,4.421875,22050
410,37.328125,22050
411,18.125,22050
412,10.125,22050
413,4.53125,22050
414,16.640625,22050
415,6.421875,22050
416,16.421875,22050
417,9.4375,22050
418,9.515625,22050
419,8.953125,22050
420,9.0625,22050
421,19.296875,22050
422,14.09375,22050
423,16.109375,22050
424,32.296875,22050
425,22.765625,22050
426,15.34375,22050
427,23.4375,22050
428,5.78125,22050
429,31.765625,22050
430,8.96875,22050
431,13.53125,22050
432,11.515625,22050
433,11.984375,22050
434,10.984375,22050
435,10.28125,22050
436,13.171875,22050
437,12.71875,22050
438,8.84375,22050
439,8.859375,22050
440,12.796875,22050
441,12.25,22050
442,9.53125,22050
443,10.234375,22050
444,17.15625,22050
445,17.09375,22050
446,8.75,22050
447,9.03125,22050
448,11.203125,22050
449,10.890625,22050
450,15.703125,22050
